timestamp,symbol,price_usd,vol_24h,chg_24h
16-12-2025 22:01,sol,$128.13,"$4,928,039,451.00",2.80%
16-12-2025 22:01,btc,"$87,755.00","$51,980,906,854.00",1.98%
16-12-2025 22:01,usdt,$1.00,"$81,016,281,941.00",-0.02%
16-12-2025 22:01,usdc,$1.00,"$12,315,793,376.00",0.01%
16-12-2025 21:43,usds,$1.00,"$4,114,710.00",0.01%
16-12-2025 21:43,leo,$9.04,"$602,756.00",-2.09%
16-12-2025 21:43,susds,$1.08,"$1,095,335.00",-0.39%
16-12-2025 21:43,wbeth,"$3,196.56","$11,113,257.00",1.19%
16-12-2025 21:43,weeth,"$3,191.49","$17,714,634.00",0.89%
16-12-2025 21:43,cro,$0.10,"$22,728,557.00",0.27%
16-12-2025 21:43,susde,$1.21,"$24,372,950.00",0.01%
16-12-2025 21:43,m,$1.63,"$14,532,627.00",-7.04%
16-12-2025 21:43,rain,$0.01,"$21,890,983.00",3.19%
16-12-2025 21:43,cc,$0.07,"$15,461,208.00",-0.01%
16-12-2025 21:43,figr_heloc,$1.03,"$29,601,612.00",0.65%
16-12-2025 21:43,steth,"$2,945.87","$49,183,704.00",1.10%
16-12-2025 21:43,wbt,$58.00,"$55,121,354.00",0.73%
16-12-2025 21:43,wsteth,"$3,597.06","$66,108,951.00",1.06%
16-12-2025 21:43,wlfi,$0.13,"$84,500,756.00",2.83%
16-12-2025 21:43,usde,$1.00,"$97,400,894.00",0.02%
16-12-2025 21:43,pyusd,$1.00,"$88,730,445.00",0.03%
16-12-2025 21:43,xlm,$0.22,"$126,081,485.00",2.16%
16-12-2025 21:43,hbar,$0.11,"$111,819,676.00",2.54%
16-12-2025 21:43,shib,$0.00,"$116,264,686.00",1.99%
16-12-2025 21:43,dai,$1.00,"$108,866,246.00",0.03%
16-12-2025 21:43,ton,$1.54,"$119,209,470.00",5.12%
16-12-2025 21:43,xmr,$429.71,"$171,932,374.00",6.24%
16-12-2025 21:43,mnt,$1.26,"$171,094,257.00",0.39%
16-12-2025 21:43,dot,$1.91,"$190,719,333.00",3.13%
16-12-2025 21:43,weth,"$2,944.83","$223,285,738.00",1.17%
16-12-2025 21:43,wbtc,"$87,651.00","$228,814,469.00",2.52%
16-12-2025 21:43,usdt0,$1.00,"$299,416,122.00",0.00%
16-12-2025 21:43,uni,$5.19,"$295,153,026.00",3.75%
16-12-2025 21:43,bch,$549.87,"$329,293,439.00",5.52%
16-12-2025 21:43,hype,$26.82,"$343,917,967.00",-2.55%
16-12-2025 21:43,aave,$186.83,"$373,000,891.00",3.24%
16-12-2025 21:43,avax,$12.26,"$400,094,926.00",-0.16%
16-12-2025 21:43,cbbtc,"$87,800.00","$466,325,018.00",2.40%
16-12-2025 21:43,usd1,$1.00,"$479,569,360.00",0.01%
16-12-2025 21:43,ltc,$79.09,"$517,132,477.00",3.77%
16-12-2025 21:43,trx,$0.28,"$595,580,773.00",0.84%
